original_stem,tidied,top_score,suggested_display,suggested_artist,suggested_title,year,genre
Neil Diamond - Mr Bojangles,Neil Diamond - Mr Bojangles,120,Neil Diamond - Mr. Bojangles,Neil Diamond,Mr. Bojangles,1969,Pop
Neil Diamond - You Don't Bring Me Flowers,Neil Diamond - You Don't Bring Me Flowers,130,Neil Diamond - You Don't Bring Me Flowers,Neil Diamond,You Don't Bring Me Flowers,1977,Pop
Nena - 99 Red Balloons,Nena - 99 Red Balloons,130,Nena - 99 Red Balloons,Nena,99 Red Balloons,1984,Pop
Niall Horan - Too Much To Ask,Niall Horan - Too Much To Ask,130,Niall Horan - Too Much to Ask,Niall Horan,Too Much to Ask,2017,Pop
Nick Jonas - Remember I Told You,Nick Jonas - Remember I Told You,120,Nick Jonas - Remember I Told You (feat. Anne-Marie & Mike Posner),Nick Jonas,Remember I Told You (feat. Anne-Marie & Mike Posner),2017,Dance
Nicole Scherzinger - On The Rocks,Nicole Scherzinger - On The Rocks,40,"Christopher Jackson, Rachel House, Nicole Scherzinger, Auli'i Cravalho & Louise Bush - Where You Are","Christopher Jackson, Rachel House, Nicole Scherzinger, Auli'i Cravalho & Louise Bush",Where You Are,2016,Soundtrack
No Doubt - Don't Speak,No Doubt - Don't Speak,130,No Doubt - Don't Speak,No Doubt,Don't Speak,1995,Pop
Nolans - I'm In the Mood For Dancing,Nolans - I'm In the Mood For Dancing,120,The Nolans - I'm In the Mood for Dancing,The Nolans,I'm In the Mood for Dancing,1979,Pop
Norman Greenbaum - Spirit In The Sky,Norman Greenbaum - Spirit In The Sky,130,Norman Greenbaum - Spirit In the Sky,Norman Greenbaum,Spirit In the Sky,1969,Rock
Oasis - Don't Look Back in Anger,Oasis - Don't Look Back in Anger,130,Oasis - Don't Look Back in Anger,Oasis,Don't Look Back in Anger,1995,Indie Rock
Oasis - The Importance - Of Being Idle,Oasis - The Importance - Of Being Idle,120,Oasis - The Importance Of Being Idle,Oasis,The Importance Of Being Idle,2005,Indie Rock
Oasis - Wonderwall,Oasis - Wonderwall,130,Oasis - Wonderwall,Oasis,Wonderwall,1995,Indie Rock
Olivia Newton-John & John Travolta - You're The One That I Want,Olivia Newton-John & John Travolta - You're The One That I Want,120,John Travolta & Olivia Newton-John - You're the One That I Want,John Travolta & Olivia Newton-John,You're the One That I Want,1978,Musicals
Olly Murs - Beautiful To Me,Olly Murs - Beautiful To Me,130,Olly Murs - Beautiful to Me,Olly Murs,Beautiful to Me,2014,Pop
Olly Murs - Please Don't Let Me Go,Olly Murs - Please Don't Let Me Go,130,Olly Murs - Please Don't Let Me Go,Olly Murs,Please Don't Let Me Go,2010,Rock
Olly Murs Ft Demi Lovato - Up,Olly Murs Ft Demi Lovato - Up,135,Olly Murs - Up (feat. Demi Lovato),Olly Murs,Up (feat. Demi Lovato),2014,Pop
One Direction - Best Song Ever,One Direction - Best Song Ever,130,One Direction - Best Song Ever,One Direction,Best Song Ever,2013,Pop
One Direction - Gotta Be You,One Direction - Gotta Be You,90,One Direction - Gotta Be You (2012 US Version),One Direction,Gotta Be You (2012 US Version),2012,Pop
One Direction - History,One Direction - History,130,One Direction - History,One Direction,History,2015,Pop
One Direction - Little Things,One Direction - Little Things,130,One Direction - Little Things,One Direction,Little Things,2012,Pop
One Direction - The Story of My Life,One Direction - The Story of My Life,120,One Direction - Story Of My Life,One Direction,Story Of My Life,2013,Pop
One Direction - You And I,One Direction - You And I,120,One Direction - You & I,One Direction,You & I,2013,Pop
One Republic - Counting Stars,One Republic - Counting Stars,120,OneRepublic - Counting Stars,OneRepublic,Counting Stars,2013,Pop
Otis Day & The Knights - Shout,Otis Day & The Knights - Shout,125,Otis Day & The Knights - Shout,Otis Day & The Knights,Shout,1989,R&B/Soul
Otis Reading - Sitting on the Dock of the Bay,Otis Reading - Sitting on the Dock of the Bay,50,Sitting On the Dock of the Bay - The Foundations,The Foundations,Sitting On the Dock of the Bay,1968,Pop
Paloma Faith - New York,Paloma Faith - New York,120,Paloma Faith - New York (feat. Ghostface Killah),Paloma Faith,New York (feat. Ghostface Killah),2010,Pop
Paloma Faith - Only Love Can Hurt Like This,Paloma Faith - Only Love Can Hurt Like This,130,Paloma Faith - Only Love Can Hurt Like This,Paloma Faith,Only Love Can Hurt Like This,2014,Pop
Patrick Swayze - She's Like The Wind,Patrick Swayze - She's Like The Wind,120,Patrick Swayze - She's Like the Wind (feat. Wendy Fraser),Patrick Swayze,She's Like the Wind (feat. Wendy Fraser),1987,Soundtrack
Patsy Cline - Crazy,Patsy Cline - Crazy,130,Patsy Cline - Crazy,Patsy Cline,Crazy,1961,Country
Patsy Cline - I Fall To Pieces,Patsy Cline - I Fall To Pieces,130,Patsy Cline - I Fall To Pieces,Patsy Cline,I Fall To Pieces,1962,Pop
