original_stem,tidied,top_score,suggested_display,suggested_artist,suggested_title,year,genre
10cc - Dreadlock holiday mp3cdg,10cc - Dreadlock holiday mp3cdg,0,,,,,
10cc - Dreadlock holiday zip test,10cc - Dreadlock holiday zip test,0,,,,,
10cc - Dreadlock holiday,10cc - Dreadlock holiday,130,10cc - Dreadlock Holiday,10cc,Dreadlock Holiday,1978,Pop
10cc - I'm Not In Love - Copy,10cc - I'm Not In Love - Copy,0,,,,,
10cc - I'm Not In Love,10cc - I'm Not In Love,130,10cc - I'm Not in Love,10cc,I'm Not in Love,1975,Soundtrack
50 Cent - 21 Questions,50 Cent - 21 Questions,115,50 Cent - 21 Questions (feat. Nate Dogg),50 Cent,21 Questions (feat. Nate Dogg),2003,Hip-Hop/Rap
A-Ha - Take On Me,A-Ha - Take On Me,130,a-ha - Take On Me,a-ha,Take On Me,1985,Pop
AAA Ass Test,AAA Ass Test,0,S.S.S Bass Test - Silicon,Silicon,S.S.S Bass Test,2009,Electronic
AAA sample AVI test,AAA sample AVI test,0,,,,,
AAA sample MKV,AAA sample MKV,0,,,,,
AAA sample MOV,AAA sample MOV,0,,,,,
AAA sample WEBM,AAA sample WEBM,0,,,,,
ABBA - Dancing Queen,ABBA - Dancing Queen,130,ABBA - Dancing Queen,ABBA,Dancing Queen,1976,Pop
ABBA - Fernando (Karaoke Version) [BcpOsRLTBZA],ABBA - Fernando,130,ABBA - Fernando,ABBA,Fernando,1976,Pop
ABBA - Fernando (Karaoke Version)---BcpOsRLTBZA,ABBA - Fernando,130,ABBA - Fernando,ABBA,Fernando,1976,Pop
ABBA - Fernando (Official Lyric Video)---40Z5cWP4IqQ,ABBA - Fernando,130,ABBA - Fernando,ABBA,Fernando,1976,Pop
ABBA - Gimme Gimme Gimme,ABBA - Gimme Gimme Gimme,110,ABBA - Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),1979,Pop
"ABBA - Knowing Me, Knowing You","ABBA - Knowing Me, Knowing You",130,"ABBA - Knowing Me, Knowing You",ABBA,"Knowing Me, Knowing You",1976,Pop
ABBA - Mamma Mia,ABBA - Mamma Mia,130,ABBA - Mamma Mia,ABBA,Mamma Mia,1975,Pop
ABBA - The Winner Takes It All,ABBA - The Winner Takes It All,130,ABBA - The Winner Takes It All,ABBA,The Winner Takes It All,1980,Pop
ABBA - Waterloo,ABBA - Waterloo,130,ABBA - Waterloo,ABBA,Waterloo,1974,Pop
ABC - The Look of Love,ABC - The Look of Love,120,ABC - The Look Of Love (Re-Recorded),ABC,The Look Of Love (Re-Recorded),1997,New Wave
ACDC - Highway To Hell,ACDC - Highway To Hell,120,AC/DC - Highway to Hell,AC/DC,Highway to Hell,1979,Hard Rock
Adam & The Ants - Stand and Deliver,Adam & The Ants - Stand and Deliver,100,Adam & The Ants - Stand and Deliver,Adam & The Ants,Stand and Deliver,1981,Pop
Adam Rickett - I Breathe Again,Adam Rickett - I Breathe Again,50,I Breathe Again - Adam Rickitt,Adam Rickitt,I Breathe Again,1999,Pop
Adele - Hello,Adele - Hello,130,Adele - Hello,Adele,Hello,2015,Pop
Adele - Make You Feel My Love,Adele - Make You Feel My Love,130,Adele - Make You Feel My Love,Adele,Make You Feel My Love,2008,Pop
Adele - Rolling in The Deep,Adele - Rolling in The Deep,130,Adele - Rolling in the Deep,Adele,Rolling in the Deep,2010,Pop
Adele - Someone Like You,Adele - Someone Like You,130,Adele - Someone Like You,Adele,Someone Like You,2011,Pop
Aerosmith - Angel,Aerosmith - Angel,130,Aerosmith - Angel,Aerosmith,Angel,1987,Hard Rock
Aerosmith - Love in an Elevator,Aerosmith - Love in an Elevator,130,Aerosmith - Love In an Elevator,Aerosmith,Love In an Elevator,1989,Rock
Al Green - Lets Stay Together,Al Green - Lets Stay Together,120,Al Green - Let's Stay Together,Al Green,Let's Stay Together,1971,Soul
Alanis Morissette - Ironic,Alanis Morissette - Ironic,130,Alanis Morissette - Ironic,Alanis Morissette,Ironic,1995,Alternative
Alannah Myles - Black Velvet,Alannah Myles - Black Velvet,130,Alannah Myles - Black Velvet,Alannah Myles,Black Velvet,1989,Rock
Alexis Jordan - Happiness,Alexis Jordan - Happiness,130,Alexis Jordan - Happiness,Alexis Jordan,Happiness,2010,Pop
Alice Cooper - Schools out,Alice Cooper - Schools out,120,Alice Cooper - School's Out,Alice Cooper,School's Out,1972,Hard Rock
"Alicia Keys - Empire State of Mind, Pt. 2","Alicia Keys - Empire State of Mind, Pt. 2",125,"Alicia Keys - Empire State of Mind, Pt. 2",Alicia Keys,"Empire State of Mind, Pt. 2",2009,R&B/Soul
Alicia Keys - Girl On Fire,Alicia Keys - Girl On Fire,125,Alicia Keys - Girl On Fire,Alicia Keys,Girl On Fire,2012,R&B/Soul
Alison Moyet - Love Letters,Alison Moyet - Love Letters,130,Alison Moyet - Love Letters,Alison Moyet,Love Letters,1987,Pop
All Saints - Never Ever,All Saints - Never Ever,130,All Saints - Never Ever,All Saints,Never Ever,1997,Dance
Alvin Stardust - My Coo-CaChoo,Alvin Stardust - My Coo-CaChoo,120,Alvin Stardust - My Coo Ca Choo,Alvin Stardust,My Coo Ca Choo,1974,Pop
Ami Stewart - Knock On Wood,Ami Stewart - Knock On Wood,50,Knock On Wood - Amii Stewart,Amii Stewart,Knock On Wood,1978,Soul
Amy Grant - Big Yellow Taxi,Amy Grant - Big Yellow Taxi,130,Amy Grant - Big Yellow Taxi,Amy Grant,Big Yellow Taxi,1994,Christian
Amy Winehouse  - Back To Black,Amy Winehouse - Back To Black,115,Amy Winehouse - Back To Black (Original Demo),Amy Winehouse,Back To Black (Original Demo),2007,R&B/Soul
Andy Williams - Music To Watch Girls By,Andy Williams - Music To Watch Girls By,130,Andy Williams - Music to Watch Girls By,Andy Williams,Music to Watch Girls By,1967,Vocal Pop
Animals - House Of The Rising Sun,Animals - House Of The Rising Sun,120,The Animals - House of the Rising Sun,The Animals,House of the Rising Sun,1963,British Invasion
Aretha Franklin & George Michael - I Knew You Were Waiting,Aretha Franklin & George Michael - I Knew You Were Waiting,115,Aretha Franklin & George Michael - I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,I Knew You Were Waiting (For Me),1986,R&B/Soul
Aretha Franklin - Respect,Aretha Franklin - Respect,130,Aretha Franklin - Respect,Aretha Franklin,Respect,1967,Rock
Aretha Franklin - You Make Me Feel Like A Natural Woman,Aretha Franklin - You Make Me Feel Like A Natural Woman,110,Aretha Franklin - (You Make Me Feel Like) A Natural Woman,Aretha Franklin,(You Make Me Feel Like) A Natural Woman,1967,Soundtrack
Aristocats - Everybody Wants To Be A Cat,Aristocats - Everybody Wants To Be A Cat,55,"Everybody Wants To Be a Cat (From ""The Aristocats"") - Dimie Cat",Dimie Cat,"Everybody Wants To Be a Cat (From ""The Aristocats"")",2014,Dance
Aswad - Don't Turn Around,Aswad - Don't Turn Around,130,Aswad - Don't Turn Around,Aswad,Don't Turn Around,1988,Pop
Atomic Kitten - Whole Again,Atomic Kitten - Whole Again,130,Atomic Kitten - Whole Again,Atomic Kitten,Whole Again,2000,Pop
Avicii - Addicted To You,Avicii - Addicted To You,130,Avicii - Addicted To You,Avicii,Addicted To You,2013,House
Avicii - Waiting For Love,Avicii - Waiting For Love,130,Avicii - Waiting For Love,Avicii,Waiting For Love,2015,Dance
B52's - Love Shack,B52's - Love Shack,120,The B-52's - Love Shack,The B-52's,Love Shack,1989,Pop
Bachman Turner Overdrive - Takin' Care Of Business,Bachman Turner Overdrive - Takin' Care Of Business,130,Bachman-Turner Overdrive - Takin' Care of Business,Bachman-Turner Overdrive,Takin' Care of Business,1973,Rock
Bachman Turner Overdrive - You Aint Seen Nothing Yet,Bachman Turner Overdrive - You Aint Seen Nothing Yet,120,Bachman-Turner Overdrive - You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,You Ain't Seen Nothing Yet,1974,Rock
Backstreet Boys - I Want It That Way,Backstreet Boys - I Want It That Way,130,Backstreet Boys - I Want It That Way,Backstreet Boys,I Want It That Way,1999,Pop
Backstreet Boys - Shape Of My Heart,Backstreet Boys - Shape Of My Heart,130,Backstreet Boys - Shape of My Heart,Backstreet Boys,Shape of My Heart,2000,Pop
Bananarama - Venus,Bananarama - Venus,130,Bananarama - Venus,Bananarama,Venus,1986,Pop
Barbra Streisand - Memory,Barbra Streisand - Memory,130,Barbra Streisand - Memory,Barbra Streisand,Memory,1981,Pop
Barbra Streisand - Woman In Love,Barbra Streisand - Woman In Love,130,Barbra Streisand - Woman In Love,Barbra Streisand,Woman In Love,1980,Vocal
Barry Manilow - Copacabana,Barry Manilow - Copacabana,120,Barry Manilow - Copacabana (At the Copa),Barry Manilow,Copacabana (At the Copa),1978,Easy Listening
Barry Manilow - Mandy,Barry Manilow - Mandy,130,Barry Manilow - Mandy,Barry Manilow,Mandy,1974,Vocal
"Bay City Rollers - Bye, Bye, Baby","Bay City Rollers - Bye, Bye, Baby",120,Bay City Rollers - Bye Bye Baby,Bay City Rollers,Bye Bye Baby,1975,Pop
Beach Boys - Barbara Ann,Beach Boys - Barbara Ann,120,The Beach Boys - Barbara Ann,The Beach Boys,Barbara Ann,1965,Rock
Beach Boys - Help Me Rhonda,Beach Boys - Help Me Rhonda,120,The Beach Boys & Royal Philharmonic Orchestra - Help Me Rhonda,The Beach Boys & Royal Philharmonic Orchestra,Help Me Rhonda,2018,Pop
Beach Boys - Surfin Usa,Beach Boys - Surfin Usa,110,The Beach Boys - Surfin' U.S.A.,The Beach Boys,Surfin' U.S.A.,1963,Rock
Beach Boys - Surfin' USA,Beach Boys - Surfin' USA,110,The Beach Boys - Surfin' U.S.A.,The Beach Boys,Surfin' U.S.A.,1963,Rock
Beatles - Hard Days Night,Beatles - Hard Days Night,110,The Beatles - A Hard Day's Night,The Beatles,A Hard Day's Night,1964,Rock
Beatles - I Saw Her Standing There,Beatles - I Saw Her Standing There,120,The Beatles - I Saw Her Standing There,The Beatles,I Saw Her Standing There,1963,Rock
Beatles - Twist & Shout,Beatles - Twist & Shout,110,The Beatles - Twist and Shout,The Beatles,Twist and Shout,1963,Rock
Beautiful South - Perfect 10,Beautiful South - Perfect 10,120,The Beautiful South - Perfect 10,The Beautiful South,Perfect 10,1998,Alternative
Belinda Carlisle - Circle In The Sand,Belinda Carlisle - Circle In The Sand,130,Belinda Carlisle - Circle In the Sand,Belinda Carlisle,Circle In the Sand,1987,Rock
Belinda Carlisle - Heaven Is A Place On Earth,Belinda Carlisle - Heaven Is A Place On Earth,130,Belinda Carlisle - Heaven is a Place on Earth,Belinda Carlisle,Heaven is a Place on Earth,1987,Pop
Berlin - Take My Breath Away,Berlin - Take My Breath Away,130,Berlin - Take My Breath Away,Berlin,Take My Breath Away,1986,Rock
Bette Midle - Wind Beneath My Wings,Bette Midle - Wind Beneath My Wings,120,Bette Midler - Wind Beneath My Wings,Bette Midler,Wind Beneath My Wings,1988,Vocal
Bette Midler - Boogie Woogie Bugle Boy,Bette Midler - Boogie Woogie Bugle Boy,130,Bette Midler - Boogie Woogie Bugle Boy,Bette Midler,Boogie Woogie Bugle Boy,1972,Vocal
Big Bopper - Chantilly Lace,Big Bopper - Chantilly Lace,120,The Big Bopper - Chantilly Lace,The Big Bopper,Chantilly Lace,1958,Rock
Big Joe Turner  - Shake Rattle & Roll,Big Joe Turner - Shake Rattle & Roll,120,"Big Joe Turner - Shake, Rattle & Roll",Big Joe Turner,"Shake, Rattle & Roll",1954,Blues
Bill Haley - Rock Around the Clock,Bill Haley - Rock Around the Clock,130,Bill Haley - Rock Around the Clock,Bill Haley,Rock Around the Clock,2011,German Pop
Billy Idol - White Wedding,Billy Idol - White Wedding,120,"Billy Idol - White Wedding, Pt. 1",Billy Idol,"White Wedding, Pt. 1",1982,Rock
Billy Ocean - When the Going Gets Tough,Billy Ocean - When the Going Gets Tough,120,"Billy Ocean - When the Going Gets Tough, The Tough Get Going",Billy Ocean,"When the Going Gets Tough, The Tough Get Going",1985,Pop
Black - Wonderful Life,Black - Wonderful Life,130,BLACK - Wonderful Life,BLACK,Wonderful Life,1986,Rock
Black Eyed Peas - Meet Me Halfway,Black Eyed Peas - Meet Me Halfway,130,Black Eyed Peas - Meet Me Halfway,Black Eyed Peas,Meet Me Halfway,2009,Pop
Black Eyed Peas - Pump It,Black Eyed Peas - Pump It,110,Tiësto & Black Eyed Peas - Pump It Louder,Tiësto & Black Eyed Peas,Pump It Louder,2022,Dance
Blondie - Atomic,Blondie - Atomic,130,Blondie - Atomic,Blondie,Atomic,1979,Rock
Blondie - Heart Of Glass,Blondie - Heart Of Glass,130,Blondie - Heart of Glass,Blondie,Heart of Glass,1978,Pop
Blondie - One Way Or Another,Blondie - One Way Or Another,130,Blondie - One Way or Another,Blondie,One Way or Another,1978,Rock
Blondie - The Tide Is High,Blondie - The Tide Is High,130,Blondie - The Tide Is High,Blondie,The Tide Is High,1980,Pop
Bluebells - Young At Heart,Bluebells - Young At Heart,120,The Bluebells - Young at Heart,The Bluebells,Young at Heart,1984,Pop
Blues Brothers - Everybody Needs Somebody,Blues Brothers - Everybody Needs Somebody,110,The Blues Brothers - Everybody Needs Somebody to Love,The Blues Brothers,Everybody Needs Somebody to Love,1990,Soundtrack
Bob Marley - Is This Love,Bob Marley - Is This Love,120,Bob Marley & The Wailers - Is This Love,Bob Marley & The Wailers,Is This Love,1978,Reggae
Bob Seger - Old Time Rock N Roll,Bob Seger - Old Time Rock N Roll,110,Bob Seger & The Silver Bullet Band - Old Time Rock & Roll,Bob Seger & The Silver Bullet Band,Old Time Rock & Roll,1978,Rock
Bobby Boris Pickett - Monster Mash,Bobby Boris Pickett - Monster Mash,130,"Bobby ""Boris"" Pickett - Monster Mash","Bobby ""Boris"" Pickett",Monster Mash,1962,Halloween
Bobby Darin - Mack The Knife,Bobby Darin - Mack The Knife,130,Bobby Darin - Mack the Knife,Bobby Darin,Mack the Knife,1959,Pop
Bobby Darin - Splish Splash,Bobby Darin - Splish Splash,130,Bobby Darin - Splish Splash,Bobby Darin,Splish Splash,1958,Pop
Bobby Day - Rockin' Robin,Bobby Day - Rockin' Robin,130,Bobby Day - Rockin' Robin,Bobby Day,Rockin' Robin,1958,Rock
Bon Jovi - It's My Life,Bon Jovi - It's My Life,130,Bon Jovi - It's My Life,Bon Jovi,It's My Life,2000,Pop
Bon Jovi - Livin' on a Prayer,Bon Jovi - Livin' on a Prayer,130,Bon Jovi - Livin' On a Prayer,Bon Jovi,Livin' On a Prayer,1986,Hard Rock
Bon Jovi - You Give Love A Bad Name,Bon Jovi - You Give Love A Bad Name,130,Bon Jovi - You Give Love a Bad Name,Bon Jovi,You Give Love a Bad Name,1986,Hard Rock
Bonnie Tyler - Holding Out For A Hero,Bonnie Tyler - Holding Out For A Hero,130,Bonnie Tyler - Holding Out for a Hero,Bonnie Tyler,Holding Out for a Hero,1984,Soundtrack
Boston - More Than A Feeling,Boston - More Than A Feeling,130,Boston - More Than a Feeling,Boston,More Than a Feeling,1976,Rock
Brian Hyland - Itsy Bitsy Teeny Weenie Yellow Polka Dot Bikini,Brian Hyland - Itsy Bitsy Teeny Weenie Yellow Polka Dot Bikini,120,Brian Hyland - Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,1959,Rock
Britney Spears - Overprotected,Britney Spears - Overprotected,130,Britney Spears - Overprotected,Britney Spears,Overprotected,2001,Pop
Bruce Springsteen - Born In The U.S.A.,Bruce Springsteen - Born In The U.S.A.,130,Bruce Springsteen - Born In the U.S.A.,Bruce Springsteen,Born In the U.S.A.,1984,Rock
Bryan Adams - Inside Out,Bryan Adams - Inside Out,130,Bryan Adams - Inside Out,Bryan Adams,Inside Out,1998,Rock
Bryan Adams - Run To You,Bryan Adams - Run To You,130,Bryan Adams - Run To You,Bryan Adams,Run To You,1984,Rock
Bryan Adams - Summer of '69,Bryan Adams - Summer of '69,130,Bryan Adams - Summer Of '69,Bryan Adams,Summer Of '69,1983,Rock
Bucks Fizz - Making Your Mind Up,Bucks Fizz - Making Your Mind Up,130,Bucks Fizz - Making Your Mind Up,Bucks Fizz,Making Your Mind Up,1981,Pop
"Buster Poindexter - Hot, Hot, Hot","Buster Poindexter - Hot, Hot, Hot",110,Buster Poindexter & His Banshees of Blue - Hot Hot Hot,Buster Poindexter & His Banshees of Blue,Hot Hot Hot,1987,Swing
CAKE - I Will Survive---1ZBYTDnv1VM,CAKE - I Will Survive,130,CAKE - I Will Survive,CAKE,I Will Survive,1996,Rock
CNCO - Reggaetón Lento,CNCO - Reggaetón Lento,120,CNCO - Reggaetón Lento (Bailemos),CNCO,Reggaetón Lento (Bailemos),2016,Pop Latino
"Calvin Harris, Pharrell And Katy Perry - Feels","Calvin Harris, Pharrell And Katy Perry - Feels",70,Calvin Harris - Feel So Close (Radio Edit),Calvin Harris,Feel So Close (Radio Edit),2011,Dance
Cannibal & The Headhunters - Land Of 1000 Dances,Cannibal & The Headhunters - Land Of 1000 Dances,130,Cannibal & The Headhunters - Land of 1000 Dances,Cannibal & The Headhunters,Land of 1000 Dances,2005,Rock
Cars - Drive,Cars - Drive,120,The Cars - Drive,The Cars,Drive,1984,Rock
Catatonia - Londinium,Catatonia - Londinium,130,Catatonia - Londinium,Catatonia,Londinium,1998,Pop
Cee Lo Green - Forget You,Cee Lo Green - Forget You,120,CeeLo Green - Forget You,CeeLo Green,Forget You,2010,Alternative
Charlie Puth - How Long,Charlie Puth - How Long,130,Charlie Puth - How Long,Charlie Puth,How Long,2017,Pop
Charlie Puth - Marvin Gaye,Charlie Puth - Marvin Gaye,120,Charlie Puth - Marvin Gaye (feat. Meghan Trainor),Charlie Puth,Marvin Gaye (feat. Meghan Trainor),2015,Pop
Cher - Believe,Cher - Believe,130,Cher - Believe,Cher,Believe,1998,Pop
Cher - If I Could Turn Back Time,Cher - If I Could Turn Back Time,130,Cher - If I Could Turn Back Time,Cher,If I Could Turn Back Time,1989,Pop
Cher - Just Like Jesse James,Cher - Just Like Jesse James,130,Cher - Just Like Jesse James,Cher,Just Like Jesse James,1989,Pop
Cher - Strong Enough,Cher - Strong Enough,130,Cher - Strong Enough,Cher,Strong Enough,1998,Pop
Cher - The Shoop Shoop Song,Cher - The Shoop Shoop Song,120,Cher - The Shoop Shoop Song (It's In His Kiss),Cher,The Shoop Shoop Song (It's In His Kiss),1990,Pop
Cher - Walking In Memphis,Cher - Walking In Memphis,130,Cher - Walking In Memphis,Cher,Walking In Memphis,1995,Pop
Cheryl Cole - Fight For This Love,Cheryl Cole - Fight For This Love,120,Cheryl - Fight for This Love,Cheryl,Fight for This Love,2009,Pop
Chris De Burgh - Lady In Red,Chris De Burgh - Lady In Red,130,Chris de Burgh - Lady In Red,Chris de Burgh,Lady In Red,1984,Soundtrack
Chubby Checker - The Twist,Chubby Checker - The Twist,130,Chubby Checker - The Twist,Chubby Checker,The Twist,2007,Holiday
Chuck Berry - Johnny B. Goode,Chuck Berry - Johnny B. Goode,130,Chuck Berry - Johnny B. Goode,Chuck Berry,Johnny B. Goode,1955,Blues
Cilla Black - Anyone Who Had A Heart,Cilla Black - Anyone Who Had A Heart,130,Cilla Black - Anyone Who Had a Heart,Cilla Black,Anyone Who Had a Heart,1964,Pop
Clean Bandit - Real Love,Clean Bandit - Real Love,120,Clean Bandit & Jess Glynne - Real Love,Clean Bandit & Jess Glynne,Real Love,2014,Dance
Cliff Richard - Summer Holiday,Cliff Richard - Summer Holiday,130,Cliff Richard - Summer Holiday,Cliff Richard,Summer Holiday,1990,Pop
Coasters - Charlie Brown,Coasters - Charlie Brown,115,The Coasters - Charlie Brown,The Coasters,Charlie Brown,1959,R&B/Soul
Cold Chisel - Flame Trees,Cold Chisel - Flame Trees,130,Cold Chisel - Flame Trees,Cold Chisel,Flame Trees,1984,Rock
Coldplay - Paradise,Coldplay - Paradise,130,Coldplay - Paradise,Coldplay,Paradise,2011,Alternative
Coldplay - Something Just Like This,Coldplay - Something Just Like This,120,The Chainsmokers & Coldplay - Something Just Like This,The Chainsmokers & Coldplay,Something Just Like This,2017,Dance
Coldplay - Yellow,Coldplay - Yellow,130,Coldplay - Yellow,Coldplay,Yellow,2000,Alternative
"Commodores, The - Three Times A Lady","Commodores, The - Three Times A Lady",120,The Commodores - Three Times a Lady,The Commodores,Three Times a Lady,1978,Soul
Communards - Don't Leave Me This Way,Communards - Don't Leave Me This Way,110,The Communards - Don't Leave Me This Way (with Sarah Jane Morris),The Communards,Don't Leave Me This Way (with Sarah Jane Morris),1986,Pop
Contours - Do You Love Me,Contours - Do You Love Me,120,The Contours - Do You Love Me,The Contours,Do You Love Me,1962,Soundtrack
Corrs - Dreams,Corrs - Dreams,120,The Corrs - Dreams,The Corrs,Dreams,1997,Pop
Cory Monteith - Lea Michele - Don't Stop Believing,Cory Monteith - Lea Michele - Don't Stop Believing,40,Don't Stop Believin' - Glee Cast,Glee Cast,Don't Stop Believin',2009,Pop
Craig David - Heartline,Craig David - Heartline,125,Craig David - Heartline,Craig David,Heartline,2017,R&B/Soul
"Cranberries, The - Zombie","Cranberries, The - Zombie",120,The Cranberries - Zombie,The Cranberries,Zombie,1994,Rock
Creedence Clearwater Revival - Proud Mary,Creedence Clearwater Revival - Proud Mary,130,Creedence Clearwater Revival - Proud Mary,Creedence Clearwater Revival,Proud Mary,1968,Rock
Crew Cuts - Sh-Boom,Crew Cuts - Sh-Boom,120,The Crew Cuts - Sh-Boom,The Crew Cuts,Sh-Boom,1996,Pop
Culture Club - Do You Really Want To Hurt Me,Culture Club - Do You Really Want To Hurt Me,130,Culture Club - Do You Really Want to Hurt Me,Culture Club,Do You Really Want to Hurt Me,1982,Pop
Cutting Crew - (I Just) Died In Your Arms,Cutting Crew - (I Just) Died In Your Arms,120,Cutting Crew - (I Just) Died in Your Arms,Cutting Crew,(I Just) Died in Your Arms,1986,Rock
Cyndi Lauper - Girls Just Wanna Have Fun,Cyndi Lauper - Girls Just Wanna Have Fun,130,Cyndi Lauper - Girls Just Wanna Have Fun,Cyndi Lauper,Girls Just Wanna Have Fun,1983,Pop
Cyndi Lauper - Time After Time,Cyndi Lauper - Time After Time,130,Cyndi Lauper - Time After Time,Cyndi Lauper,Time After Time,1984,Pop
Cyndi Lauper - True Colours,Cyndi Lauper - True Colours,50,Cyndi Lauper - True Colors,Cyndi Lauper,True Colors,1986,Pop
Céline Dion - All By Myself,Céline Dion - All By Myself,130,Céline Dion - All By Myself,Céline Dion,All By Myself,1996,Pop
Céline Dion - Think Twice,Céline Dion - Think Twice,130,Céline Dion - Think Twice,Céline Dion,Think Twice,1993,Pop
Daft Punk - Get Lucky,Daft Punk - Get Lucky,120,"Daft Punk, Pharrell Williams & Nile Rodgers - Get Lucky","Daft Punk, Pharrell Williams & Nile Rodgers",Get Lucky,2013,Pop
Danny & The Juniors - At The Hop,Danny & The Juniors - At The Hop,130,Danny & The Juniors - At the Hop,Danny & The Juniors,At the Hop,2001,Pop
David Allan Coe - You Never Even Called Me By My Name,David Allan Coe - You Never Even Called Me By My Name,130,David Allan Coe - You Never Even Called Me by My Name,David Allan Coe,You Never Even Called Me by My Name,1974,Country
David Bowie - Absolute Beginners,David Bowie - Absolute Beginners,130,David Bowie - Absolute Beginners,David Bowie,Absolute Beginners,2018,Pop
David Bowie - Ashes To Ashes,David Bowie - Ashes To Ashes,130,David Bowie - Ashes to Ashes,David Bowie,Ashes to Ashes,1980,Pop
David Bowie - China Girl,David Bowie - China Girl,130,David Bowie - China Girl,David Bowie,China Girl,1983,Pop
David Bowie - Dancing In The Street,David Bowie - Dancing In The Street,120,David Bowie & Mick Jagger - Dancing In the Street,David Bowie & Mick Jagger,Dancing In the Street,1985,Rock
David Bowie - Let's Dance,David Bowie - Let's Dance,130,David Bowie - Let's Dance,David Bowie,Let's Dance,1983,Pop
David Bowie - Life On Mars,David Bowie - Life On Mars,120,David Bowie - Life On Mars?,David Bowie,Life On Mars?,1971,Rock
David Essex - Gonna Make You A Star,David Essex - Gonna Make You A Star,130,David Essex - Gonna Make You a Star,David Essex,Gonna Make You a Star,1974,Pop
David Guetta Ft Sia And Fetty Wap - Bang My Head,David Guetta Ft Sia And Fetty Wap - Bang My Head,135,David Guetta - Bang My Head (feat. Sia & Fetty Wap),David Guetta,Bang My Head (feat. Sia & Fetty Wap),2014,Dance
Dead Or Alive - You Spin Me Around,Dead Or Alive - You Spin Me Around,110,Dead or Alive - You Spin Me Round (Like a Record),Dead or Alive,You Spin Me Round (Like a Record),1984,Pop
Dean Martin - Volare,Dean Martin - Volare,130,Dean Martin - Volare,Dean Martin,Volare,1958,Pop
Demi Lovato - Cool for the Summer,Demi Lovato - Cool for the Summer,130,Demi Lovato - Cool for the Summer,Demi Lovato,Cool for the Summer,2015,Pop
Depeche Mode - Just Can't Get Enough,Depeche Mode - Just Can't Get Enough,130,Depeche Mode - Just Can't Get Enough,Depeche Mode,Just Can't Get Enough,1981,Pop
Destiny's Child - Bills Bills Bills,Destiny's Child - Bills Bills Bills,115,"Destiny's Child - Bills, Bills, Bills",Destiny's Child,"Bills, Bills, Bills",1999,R&B/Soul
Destinys Child - Survivor,Destinys Child - Survivor,120,Destiny's Child - Survivor,Destiny's Child,Survivor,2001,Worldwide
Dexy's Midnight Runners - Come On Eileen,Dexy's Midnight Runners - Come On Eileen,120,Dexys Midnight Runners - Come On Eileen,Dexys Midnight Runners,Come On Eileen,1982,Pop
Diana Ross & Lionel Richie - Endless Love,Diana Ross & Lionel Richie - Endless Love,120,Lionel Richie & Diana Ross - Endless Love,Lionel Richie & Diana Ross,Endless Love,1981,Soundtrack
Diana Ross - Ain't No Mountain High Enough,Diana Ross - Ain't No Mountain High Enough,130,Diana Ross - Ain't No Mountain High Enough,Diana Ross,Ain't No Mountain High Enough,1970,Soundtrack
Dido - White Flag,Dido - White Flag,130,Dido - White Flag,Dido,White Flag,2003,Pop
Dina Carrol - Without Love,Dina Carrol - Without Love,110,Dina Carroll - Without Love (Mood II Swing Special Mix),Dina Carroll,Without Love (Mood II Swing Special Mix),1999,Pop
Dion & The Belmonts - Runaround Sue,Dion & The Belmonts - Runaround Sue,130,Dion & The Belmonts - Runaround Sue,Dion & The Belmonts,Runaround Sue,1996,Pop
Dion & The Belmonts - The Wanderer,Dion & The Belmonts - The Wanderer,130,Dion & The Belmonts - The Wanderer,Dion & The Belmonts,The Wanderer,1987,Pop
Dionne Warwick - I say a Little Prayer,Dionne Warwick - I say a Little Prayer,130,Dionne Warwick - I Say a Little Prayer,Dionne Warwick,I Say a Little Prayer,1967,Pop
Dire Straits - Sultains Of Swing,Dire Straits - Sultains Of Swing,50,Dire Straits - Sultans of Swing,Dire Straits,Sultans of Swing,1978,Rock
Dolly Parton -  DIVORCE,Dolly Parton - DIVORCE,120,Dolly Parton - D.I.V.O.R.C.E.,Dolly Parton,D.I.V.O.R.C.E.,1969,Country
Dolly Parton - 9 To 5,Dolly Parton - 9 To 5,130,Dolly Parton - 9 to 5,Dolly Parton,9 to 5,1980,Country
Dolly Parton - Jolene,Dolly Parton - Jolene,130,Dolly Parton - Jolene,Dolly Parton,Jolene,1973,Country
Don McLean - American Pie,Don McLean - American Pie,130,Don Mclean - American Pie,Don Mclean,American Pie,1971,Pop
Donna Summer - Hot Stuff,Donna Summer - Hot Stuff,130,Donna Summer - Hot Stuff,Donna Summer,Hot Stuff,1979,Disco
Donny Osmond - Puppy Love,Donny Osmond - Puppy Love,130,Donny Osmond - Puppy Love,Donny Osmond,Puppy Love,2000,Classical
Donny Osmond - Young Love,Donny Osmond - Young Love,130,Donny Osmond - Young Love,Donny Osmond,Young Love,1973,Pop
